"parent"	"child"
21	14.67
21	14.67
21	14.67
21	14.67
21	14.67
21	14.67
21	14.67
21	14.67
21	14.67
21	14.67
21	14.67
21	14.67
21	14.67
21	14.67
21	14.67
21	14.67
21	14.67
21	14.67
21	14.67
21	14.67
21	14.67
21	14.67
21	15.67
21	15.67
21	15.67
21	15.67
21	15.67
21	15.67
21	15.67
21	15.67
21	16.67
21	16.67
21	16.67
21	16.67
21	16.67
21	16.67
21	16.67
21	16.67
21	16.67
21	16.67
21	17.67
21	17.67
21	17.67
21	17.67
21	17.67
21	17.67
21	17.67
21	17.67
21	17.67
21	17.67
21	17.67
21	17.67
21	17.67
21	17.67
21	17.67
21	17.67
21	17.67
21	17.67
21	18.67
21	18.67
21	18.67
21	18.67
21	18.67
21	18.67
21	18.67
21	18.67
21	18.67
21	18.67
21	18.67
21	18.67
21	18.67
21	18.67
21	18.67
21	18.67
21	18.67
21	18.67
21	18.67
21	18.67
21	18.67
21	19.67
21	19.67
21	19.67
21	19.67
21	19.67
21	19.67
21	19.67
21	19.67
21	19.67
21	19.67
21	19.67
21	19.67
21	19.67
21	20.67
21	20.67
21	20.67
21	20.67
21	20.67
21	20.67
21	22.67
21	22.67
20	14.66
20	14.66
20	14.66
20	14.66
20	14.66
20	14.66
20	14.66
20	14.66
20	14.66
20	14.66
20	14.66
20	14.66
20	14.66
20	14.66
20	14.66
20	14.66
20	14.66
20	14.66
20	14.66
20	14.66
20	14.66
20	14.66
20	14.66
20	15.66
20	15.66
20	15.66
20	15.66
20	15.66
20	15.66
20	15.66
20	15.66
20	15.66
20	15.66
20	16.66
20	16.66
20	16.66
20	16.66
20	16.66
20	16.66
20	16.66
20	16.66
20	16.66
20	16.66
20	16.66
20	16.66
20	17.66
20	17.66
20	17.66
20	17.66
20	17.66
20	17.66
20	17.66
20	17.66
20	17.66
20	17.66
20	17.66
20	17.66
20	17.66
20	17.66
20	17.66
20	17.66
20	17.66
20	18.66
20	18.66
20	18.66
20	18.66
20	18.66
20	18.66
20	18.66
20	18.66
20	18.66
20	18.66
20	18.66
20	18.66
20	18.66
20	18.66
20	18.66
20	18.66
20	18.66
20	18.66
20	18.66
20	18.66
20	19.66
20	19.66
20	19.66
20	19.66
20	19.66
20	19.66
20	19.66
20	19.66
20	19.66
20	19.66
20	19.66
20	19.66
20	19.66
20	20.66
20	20.66
20	20.66
20	22.66
20	22.66
19	14.07
19	14.07
19	14.07
19	14.07
19	14.07
19	14.07
19	14.07
19	14.07
19	14.07
19	14.07
19	14.07
19	14.07
19	14.07
19	14.07
19	14.07
19	14.07
19	14.07
19	14.07
19	14.07
19	14.07
19	14.07
19	14.07
19	14.07
19	14.07
19	14.07
19	14.07
19	14.07
19	14.07
19	14.07
19	14.07
19	14.07
19	14.07
19	14.07
19	14.07
19	14.07
19	15.07
19	15.07
19	15.07
19	15.07
19	15.07
19	15.07
19	15.07
19	15.07
19	15.07
19	15.07
19	15.07
19	15.07
19	15.07
19	15.07
19	15.07
19	15.07
19	16.07
19	16.07
19	16.07
19	16.07
19	16.07
19	16.07
19	16.07
19	16.07
19	16.07
19	16.07
19	16.07
19	16.07
19	17.07
19	17.07
19	17.07
19	17.07
19	17.07
19	17.07
19	17.07
19	17.07
19	17.07
19	17.07
19	17.07
19	17.07
19	17.07
19	18.07
19	18.07
19	18.07
19	18.07
19	18.07
19	18.07
19	18.07
19	18.07
19	18.07
19	18.07
19	18.07
19	19.07
19	19.07
19	19.07
19	19.07
19	19.07
19	19.07
19	19.07
19	19.07
19	19.07
19	19.07
19	20.07
19	20.07
19	22.07
18	14.35
18	14.35
18	14.35
18	14.35
18	14.35
18	14.35
18	14.35
18	14.35
18	14.35
18	14.35
18	14.35
18	14.35
18	14.35
18	14.35
18	14.35
18	14.35
18	14.35
18	14.35
18	14.35
18	14.35
18	14.35
18	14.35
18	14.35
18	14.35
18	14.35
18	14.35
18	14.35
18	14.35
18	14.35
18	14.35
18	14.35
18	14.35
18	14.35
18	14.35
18	15.35
18	15.35
18	15.35
18	15.35
18	15.35
18	15.35
18	15.35
18	15.35
18	15.35
18	15.35
18	15.35
18	15.35
18	16.35
18	16.35
18	16.35
18	16.35
18	16.35
18	16.35
18	16.35
18	16.35
18	16.35
18	16.35
18	16.35
18	16.35
18	16.35
18	17.35
18	17.35
18	17.35
18	17.35
18	17.35
18	17.35
18	17.35
18	17.35
18	17.35
18	17.35
18	17.35
18	17.35
18	17.35
18	17.35
18	17.35
18	17.35
18	17.35
18	18.35
18	18.35
18	18.35
18	18.35
18	18.35
18	18.35
18	18.35
18	18.35
18	18.35
18	18.35
18	18.35
18	18.35
18	18.35
18	18.35
18	18.35
18	18.35
18	19.35
18	19.35
18	19.35
18	19.35
18	19.35
18	19.35
18	20.35
18	20.35
17	13.92
17	13.92
17	13.92
17	13.92
17	13.92
17	13.92
17	13.92
17	13.92
17	13.92
17	13.92
17	13.92
17	13.92
17	13.92
17	13.92
17	13.92
17	13.92
17	13.92
17	13.92
17	13.92
17	13.92
17	13.92
17	13.92
17	13.92
17	13.92
17	13.92
17	13.92
17	13.92
17	13.92
17	13.92
17	13.92
17	13.92
17	13.92
17	13.92
17	13.92
17	13.92
17	13.92
17	13.92
17	14.92
17	14.92
17	14.92
17	14.92
17	14.92
17	14.92
17	14.92
17	14.92
17	14.92
17	14.92
17	14.92
17	14.92
17	14.92
17	14.92
17	14.92
17	14.92
17	15.92
17	15.92
17	15.92
17	15.92
17	15.92
17	15.92
17	15.92
17	15.92
17	15.92
17	15.92
17	15.92
17	15.92
17	15.92
17	16.92
17	16.92
17	16.92
17	16.92
17	16.92
17	16.92
17	16.92
17	16.92
17	16.92
17	16.92
17	16.92
17	16.92
17	16.92
17	16.92
17	16.92
17	16.92
17	17.92
17	17.92
17	17.92
17	17.92
17	17.92
17	17.92
17	17.92
17	17.92
17	17.92
17	17.92
17	17.92
17	17.92
17	17.92
17	18.92
17	18.92
17	18.92
17	18.92
17	19.92
16	14.28
16	14.28
16	14.28
16	14.28
16	14.28
16	14.28
16	14.28
16	14.28
16	14.28
16	14.28
16	14.28
16	14.28
16	14.28
16	14.28
16	14.28
16	14.28
16	14.28
16	14.28
16	14.28
16	14.28
16	14.28
16	14.28
16	14.28
16	14.28
16	14.28
16	14.28
16	14.28
16	14.28
16	14.28
16	14.28
16	14.28
16	14.28
16	14.28
16	14.28
16	15.28
16	15.28
16	15.28
16	15.28
16	15.28
16	15.28
16	15.28
16	15.28
16	15.28
16	15.28
16	15.28
16	15.28
16	15.28
16	15.28
16	15.28
16	16.28
16	16.28
16	16.28
16	16.28
16	16.28
16	16.28
16	16.28
16	16.28
16	16.28
16	16.28
16	16.28
16	16.28
16	16.28
16	16.28
16	16.28
16	16.28
16	16.28
16	16.28
16	17.28
16	17.28
16	17.28
16	17.28
16	17.28
16	17.28
16	17.28
16	17.28
16	17.28
16	17.28
16	17.28
16	17.28
16	17.28
16	17.28
16	17.28
16	17.28
16	18.28
16	18.28
16	18.28
16	18.28
16	18.28
16	18.28
16	18.28
16	18.28
16	18.28
16	18.28
16	18.28
16	18.28
16	18.28
16	19.28
16	19.28
16	19.28
16	20.28
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	14.77
15	14.77
15	14.77
15	14.77
15	14.77
15	14.77
15	14.77
15	14.77
15	14.77
15	14.77
15	14.77
15	14.77
15	14.77
15	14.77
15	15.77
15	15.77
15	15.77
15	15.77
15	15.77
15	15.77
15	15.77
15	15.77
15	15.77
15	16.77
15	16.77
15	16.77
15	16.77
15	16.77
15	16.77
15	16.77
15	16.77
15	16.77
15	16.77
15	16.77
15	17.77
15	17.77
15	17.77
15	17.77
15	17.77
15	17.77
15	17.77
15	17.77
15	17.77
15	17.77
15	17.77
15	17.77
15	17.77
15	17.77
15	18.77
15	18.77
15	18.77
15	18.77
15	19.77
15	19.77
